reelStrip0_0=4,8,7,10,13,3,8,1,5,11,13,6,12,9,4,8,7,10,13,3,8,1,5,11,13,6,12,9
reelStrip0_1=5,9,11,2,13,11,3,10,4,8,6,1,7,12,5,9,2,10,13,11,3,10,4,8,6,1,7,12
reelStrip0_2=4,2,3,10,5,13,7,9,1,8,5,12,6,11,4,9,3,10,5,13,7,2,4,8,5,12,6,11
reelStrip0_3=6,11,2,13,11,4,9,5,12,3,10,7,8,1,6,11,5,13,11,4,9,5,12,3,10,7,8,3
reelStrip0_4=9,3,8,5,9,13,6,8,10,4,11,1,7,12,9,3,8,5,9,13,6,8,10,4,11,3,7,12

reelStrip1_0=4,8,7,10,13,3,8,1,5,11,13,6,12,9,4,8,7,10,13,3,8,1,5,11,13,6,12,9
reelStrip1_1=5,9,11,2,13,11,3,10,4,8,6,1,7,12,5,9,2,10,13,11,3,10,4,8,6,1,7,12
reelStrip1_2=4,2,3,10,5,13,7,9,1,8,5,12,6,11,4,9,3,10,5,13,7,2,4,8,5,12,6,11
reelStrip1_3=6,11,2,13,11,4,9,5,12,3,10,7,8,1,6,11,5,13,11,4,9,5,12,3,10,7,8,3
reelStrip1_4=9,3,8,5,9,13,6,8,10,4,11,1,7,12,9,3,8,5,9,13,6,8,10,4,11,3,7,12
